latitude,longitude
48.171619,11.772627
48.171613,11.772649
48.171601,11.772694
48.171581,11.772766
48.171557,11.772857
48.171527,11.772969
48.17149,11.773106
48.171447,11.773265
48.1714,11.773442
48.171352,11.773621
48.171305,11.773796
48.171257,11.773972
48.171212,11.77414
48.171218,11.774318
48.171322,11.774416
48.171445,11.774485
48.171553,11.774545
48.171631,11.774589
48.171673,11.774612
48.171739,11.774619
48.171784,11.774537
48.171818,11.77441
48.171859,11.77426
48.171908,11.774078
48.171953,11.773909
48.171999,11.773737
48.172047,11.773559
48.172095,11.773381
48.172142,11.773206
48.172189,11.773033
48.172237,11.772855
48.172285,11.772677
48.172333,11.772497
48.172381,11.772321
48.172429,11.772141
48.172478,11.771959
48.172537,11.771796
48.172595,11.771635
48.172652,11.771474
48.17271,11.771313
48.172772,11.77114
48.172831,11.770977
48.17289,11.770814
48.172951,11.770643
48.173009,11.770481
48.17306,11.77034
48.173093,11.770247
48.173115,11.770194
48.173147,11.770128
48.173188,11.770051
48.173247,11.769952
48.173307,11.769883
48.173379,11.769836
48.173442,11.769797
48.173514,11.769754
48.173578,11.769715
48.173641,11.769676
48.17371,11.769634
48.173775,11.769595
48.173844,11.769553
48.173911,11.769513
48.173979,11.769471
48.174051,11.769425
48.174121,11.76938
48.174191,11.769331
48.174256,11.769281
48.174317,11.769231
48.174385,11.769175
48.174446,11.769127
48.174518,11.769084
48.174586,11.769051
48.174657,11.769015
48.174723,11.768982
48.174788,11.76895
48.174863,11.768912
48.174926,11.768881
48.174959,11.768864
48.175008,11.76884
48.175069,11.768809
48.175144,11.768771
48.175236,11.768724
48.175345,11.768667
48.175461,11.768604
48.175575,11.768541
48.175691,11.768477
48.175808,11.768412
48.175926,11.768347
48.17604,11.768283
48.176155,11.768217
48.176268,11.76815
48.176382,11.768082
48.176495,11.768016
48.176589,11.76796
48.176641,11.767891
48.176632,11.767797
48.176595,11.767679
48.176549,11.767533
48.176496,11.767362
48.176444,11.767196
48.176391,11.767029
48.176338,11.766859
48.176284,11.766687
48.176233,11.766524
48.176179,11.766352
48.176127,11.766184
48.176075,11.766012
48.176022,11.765832
48.17597,11.76565
48.175919,11.765474
48.17587,11.765303
48.175827,11.765155
48.175797,11.765048
48.175782,11.764997
48.175781,11.764994
48.17578,11.764992
48.17578,11.764991
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.17578,11.76499
48.175774,11.764973
48.175755,11.764934
48.175733,11.76489
48.175685,11.764854
48.175608,11.76484
48.175512,11.764865
48.175404,11.764915
48.175282,11.76498
48.17516,11.765044
48.175037,11.765082
48.174914,11.765116
48.174788,11.765135
48.174664,11.765095
48.174539,11.765085
48.174419,11.765061
48.174299,11.765012
48.174175,11.764949
48.174062,11.764872
48.173956,11.764783
48.173857,11.764681
48.173759,11.764562
48.173665,11.764427
48.173582,11.764282
48.173511,11.764122
48.173452,11.763964
48.173402,11.763799
48.173356,11.763625
48.173321,11.763449
48.173291,11.76326
48.173264,11.763071
48.173239,11.762887
48.173215,11.762708
48.173189,11.76251
48.17316,11.76229
48.173128,11.762051
48.173092,11.761782
48.173057,11.761519
48.173022,11.761256
48.172988,11.760996
48.172952,11.760725
48.17292,11.760456
48.17289,11.760197
48.172858,11.759931
48.172827,11.759666
48.172796,11.759403
48.172765,11.759139
48.172734,11.758873
48.172704,11.758616
48.172673,11.758359
48.172641,11.758094
48.17261,11.757833
48.172578,11.757569
48.172547,11.757306
48.172515,11.75704
48.172483,11.756776
48.172452,11.756519
48.172422,11.756264
48.172391,11.756007
48.17236,11.755751
48.172329,11.755492
48.172297,11.75523
48.172266,11.754968
48.172234,11.754707
48.172202,11.754439
48.17217,11.754171
48.17214,11.753922
48.172171,11.753688
48.172264,11.753535
48.172361,11.753487
48.17248,11.753515
48.17259,11.753629
48.172655,11.753837
48.172679,11.754089
48.1727,11.754342
48.172716,11.754533
48.172727,11.754665
48.172733,11.754736
48.172739,11.75481
48.172741,11.754889
48.172696,11.754923
48.172619,11.754907
48.172524,11.754886
48.172415,11.75486
48.172294,11.754835
48.172162,11.754819
48.17204,11.754805
48.171916,11.754805
48.171807,11.754816
48.171697,11.754836
48.171594,11.754865
48.171489,11.754905
48.171389,11.754956
48.171291,11.755015
48.171191,11.755082
48.171098,11.755155
48.171007,11.755229
48.170919,11.755302
48.170822,11.755383
48.17073,11.755459
48.170646,11.755532
48.170582,11.755589
48.170522,11.755642
48.170449,11.755699
48.170377,11.755728
48.170315,11.755655
48.170264,11.755519
48.170212,11.75538
48.170162,11.755243
48.170111,11.755105
48.170061,11.754972
48.170016,11.754849
48.16998,11.754747
48.169963,11.754698
48.16996,11.75469
48.169959,11.754687
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169958,11.754686
48.169957,11.754682
48.169947,11.754655
48.16993,11.754606
48.169906,11.754539
48.169873,11.754444
48.169828,11.754332
48.169755,11.754244
48.169658,11.754198
48.169564,11.754201
48.169463,11.754247
48.169364,11.75431
48.169275,11.754366
48.169183,11.754424
48.169107,11.754473
48.169051,11.754508
48.168995,11.754543
48.168929,11.754586
48.168875,11.754615
48.168821,11.75464
48.168767,11.754664
48.168721,11.754684
